"","Game","LastOdds","Count","Mean","Now","Wait","NowPct","Result"
"1",1,126,56,132.422901578928,36,20,0.642857142857143,-5
"2",2,138,42,134.385649968258,21,21,0.5,-15
"3",3,129,15,129.492426936865,9,6,0.6,13
"4",4,119,2,76.297063348206,0,2,0,-4
"5",5,112,53,104.388762490989,16,37,0.30188679245283,8
"6",6,130,2,152.787732417038,2,0,1,2
"7",7,140,33,143.638765777086,20,13,0.606060606060606,-9
"8",8,156,19,147.350074291968,8,11,0.421052631578947,-19
"9",9,134,9,131.10013997811,4,5,0.444444444444444,-13
"10",10,111,51,102.003033099094,18,33,0.352941176470588,6
"11",11,134,50,137.490012913857,29,21,0.58,-9
"12",12,149,4,161.307891806333,3,1,0.75,0
"13",13,147,29,159.241041738216,18,11,0.620689655172414,-12
"14",14,154,43,152.95906982764,21,22,0.488372093023256,10
"15",15,165,51,168.763081486938,36,15,0.705882352941177,5
"16",16,163,29,153.726601852802,13,16,0.448275862068966,-10
"17",17,154,32,154.208640668534,14,18,0.4375,2
"18",18,164,33,157.384783383815,13,20,0.393939393939394,6
"19",19,183,20,198.70818099299,15,5,0.75,7
"20",20,182,1,183.41497976691,1,0,1,-19
"21",21,208,10,211.299804099721,5,5,0.5,16
"22",22,225,14,217.349100885365,6,8,0.428571428571429,9
"23",23,239,30,242.849806122106,16,14,0.533333333333333,-6
"24",24,235,2,241.072206987698,2,0,1,28
"25",25,210,39,214.760446094416,23,16,0.58974358974359,22
"26",26,202,8,192.291829266153,3,5,0.375,-13
"27",27,189,21,181.616712459324,10,11,0.476190476190476,20
"28",28,194,49,196.074261612821,26,23,0.530612244897959,-3
"29",29,203,34,203.324709135299,16,18,0.470588235294118,10
"30",30,215,13,217.656052523763,8,5,0.615384615384615,-26
"31",31,229,7,248.693782497113,5,2,0.714285714285714,-13
"32",32,242,40,247.767256844688,24,16,0.6,0
"33",33,244,14,240.162915734921,6,8,0.428571428571429,-9
"34",34,240,5,220.536409939725,1,4,0.2,1
"35",35,223,1,207.467869242218,0,1,0,-2
"36",36,234,8,235.492853228135,4,4,0.5,-10
"37",37,224,26,220.633053137465,12,14,0.461538461538462,-2
"38",38,219,54,217.003658538238,25,29,0.462962962962963,-2
"39",39,224,10,225.438057313608,7,3,0.7,16
"40",40,211,18,187.305255053769,4,14,0.222222222222222,5
"41",41,223,4,247.319526917354,2,2,0.5,0
"42",42,222,61,73.7438011591668,14,47,0.229508196721311,1
"43",43,214,15,215.68090385847,7,8,0.466666666666667,0
"44",44,208,5,186.404878114252,1,4,0.2,5
"45",45,209,5,208.738508469688,2,3,0.4,-1
"46",46,218,9,219.660952259113,3,6,0.333333333333333,-18
"47",47,215,47,215.170628240173,21,26,0.446808510638298,17
"48",48,240,26,240.644009523849,14,12,0.538461538461538,17
"49",49,230,30,230.429693749454,16,14,0.533333333333333,-9
"50",50,243,4,237.728190880641,2,2,0.5,3
"51",51,248,23,238.31526308033,7,16,0.304347826086957,13
"52",52,259,47,262.356263894958,25,22,0.531914893617021,-14
"53",53,280,36,290.106191888539,22,14,0.611111111111111,7
"54",54,269,5,280.591451420905,3,2,0.6,-17
"55",55,281,3,282.601555496685,2,1,0.666666666666667,-2
"56",56,292,37,303.74808444558,21,16,0.567567567567568,-6
"57",57,303,1,353.560928270705,1,0,1,-2
"58",58,305,22,296.283504304893,8,14,0.363636363636364,30
"59",59,335,11,340.136160142053,6,5,0.545454545454545,-9
"60",60,344,31,328.228765206754,8,23,0.258064516129032,33
"61",61,370,27,371.142343951677,17,10,0.62962962962963,15
"62",62,347,53,343.958496791128,24,29,0.452830188679245,4
"63",63,349,57,342.438258431425,23,34,0.403508771929825,-3
"64",64,348,40,344.68455541204,17,23,0.425,4
"65",65,361,7,359.231212891686,3,4,0.428571428571429,2
"66",66,374,13,364.996442205144,5,8,0.384615384615385,-5
"67",67,379,21,380.007912504479,11,10,0.523809523809524,-6
"68",68,422,39,427.015823554231,25,14,0.641025641025641,-1
"69",69,423,28,428.405099693432,16,12,0.571428571428571,0
"70",70,415,45,410.124184065674,17,28,0.377777777777778,-17
"71",71,390,6,385.525849544367,3,3,0.5,15
"72",72,417,18,421.126905176564,12,6,0.666666666666667,-10
"73",73,423,14,423.839669872939,6,8,0.428571428571429,40
"74",74,454,18,455.727975742553,11,7,0.611111111111111,-22
"75",75,456,2,457.563056806212,2,0,1,3
"76",76,453,29,471.395112491698,18,11,0.620689655172414,-9
"77",77,448,10,433.398789203373,4,6,0.4,19
"78",78,477,26,474.045483865575,13,13,0.5,3
"79",79,489,24,477.763079397839,9,15,0.375,-8
"80",80,489,36,490.745374936755,21,15,0.583333333333333,7
"81",81,475,13,490.757821080006,10,3,0.769230769230769,5
"82",82,457,50,458.525960080183,29,21,0.58,9
"83",83,439,32,434.427476380274,12,20,0.375,18
