Money Line,,Run Line,,Total,,1st Half (5 Inn.),,2nd Half,,,,
Date,Time,Fav,Dog,Fav,Dog,Over,Under,Fav,Dog,Fav,Dog,GameID
30-Mar,4:25pm,PIT-116,STL+106,STL-210,PIT+180,6.5 -105,6.5 -115,,,,,0001.csv
30-Mar,5:40pm,PIT-116,STL+106,STL-210,PIT+180,6.5 +100,6.5 -120,,,,,0001.csv
31-Mar,3:15pm,PIT-110,STL+100,STL-210,PIT+180,6.5 +105,6.5 -125,,,,,0001.csv
31-Mar,3:55pm,STL-114,PIT+104,PIT-190,STL+165,6.5 +100,6.5 -120,,,,,0001.csv
31-Mar,3:55pm,STL-114,PIT+104,PIT-190,STL+165,6.5 +100,6.5 -120,STL-119,PIT-101,,,0001.csv
31-Mar,4:00pm,STL-114,PIT+104,PIT-185,STL+165,6.5 +100,6.5 -120,STL-119,PIT-101,,,0001.csv
31-Mar,4:00pm,STL-114,PIT+104,PIT-185,STL+165,6.5 +100,6.5 -120,STL-119,PIT-101,STL-115,PIT-105,0001.csv
31-Mar,4:20pm,STL-114,PIT+104,PIT-185,STL+165,6.5 -105,6.5 -115,STL-119,PIT-101,STL-115,PIT-105,0001.csv
31-Mar,4:25pm,STL-114,PIT+104,PIT-185,STL+165,6.5 -105,6.5 -115,STL-119,PIT-101,STL-115,PIT-105,0001.csv
31-Mar,4:50pm,STL-115,PIT-105,PIT-190,STL+165,6.5 -105,6.5 -115,STL-119,PIT-101,STL-115,PIT-105,0001.csv
31-Mar,4:55pm,STL-115,PIT-105,PIT-180,STL+160,6.5 -105,6.5 -115,STL-119,PIT-101,STL-115,PIT-105,0001.csv
31-Mar,5:40pm,STL-110,PIT+100,PIT-180,STL+160,6.5 +100,6.5 -120,STL-119,PIT-101,STL-115,PIT-105,0001.csv
31-Mar,6:45pm,STL-110,PIT+100,PIT-180,STL+160,6.5 +100,6.5 -120,STL-118,PIT-102,STL-115,PIT-105,0001.csv
31-Mar,7:00pm,STL-115,PIT+105,PIT-180,STL+160,6.5 +100,6.5 -120,STL-118,PIT-102,STL-115,PIT-105,0001.csv
31-Mar,7:05pm,STL-110,PIT+100,PIT-180,STL+160,6.5 +100,6.5 -120,STL-118,PIT-102,STL-115,PIT-105,0001.csv
31-Mar,7:05pm,STL-110,PIT+100,PIT-180,STL+160,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
