"","Game","LastOdds","Count","Mean","Now","Wait","NowPct","Result"
"1",1,124,199,124,0,0,0,-4
"2",2,123,73,122.642485161004,38,35,0.520547945205479,14
"3",3,106,13,105.446506029804,6,7,0.461538461538462,8
"4",4,129,91,133.388513261459,53,38,0.582417582417582,-20
"5",5,156,77,162.271839661966,56,21,0.727272727272727,2
"6",6,159,93,161.030828540513,51,42,0.548387096774194,17
"7",7,150,110,148.098355073126,50,60,0.454545454545455,-3
"8",8,144,16,137.621222393752,9,7,0.5625,5
"9",9,140,12,119.076968955977,2,10,0.166666666666667,-1
"10",10,157,84,158.647402053548,40,44,0.476190476190476,-5
"11",11,152,3,144.487667931543,1,2,0.333333333333333,4
"12",12,164,15,163.969116832511,5,10,0.333333333333333,11
"13",13,174,93,178.993978853981,65,28,0.698924731182796,-22
"14",14,183,116,187.528003105941,64,52,0.551724137931034,29
"15",15,149,89,149.988355947683,46,43,0.51685393258427,11
"16",16,134,58,135.940619520655,32,26,0.551724137931034,1
"17",17,132,140,132.920703136549,74,66,0.528571428571429,-18
"18",18,150,10,160.33686736094,7,3,0.7,-13
"19",19,166,91,171.511673501708,55,36,0.604395604395604,0
"20",20,172,110,171.631564990371,48,62,0.436363636363636,-15
"21",21,147,20,145.034562023889,10,10,0.5,48
"22",22,185,110,186.026792185754,57,53,0.518181818181818,-59
"23",23,241,90,237.894192870751,40,50,0.444444444444444,-6
"24",24,214,153,216.033896848286,80,73,0.522875816993464,22
"25",25,191,91,189.654428397354,47,44,0.516483516483517,-7
"26",26,196,42,188.798742474245,16,26,0.380952380952381,-5
"27",27,188,127,183.877497394978,56,71,0.440944881889764,1
"28",28,186,85,184.469506844303,40,45,0.470588235294118,-9
"29",29,184,75,187.926354686819,39,36,0.52,2
"30",30,185,118,181.085825194933,56,62,0.474576271186441,1
"31",31,179,28,173.325901048554,12,16,0.428571428571429,-6
"32",32,173,85,171.48257455689,42,43,0.494117647058824,5
"33",33,180,96,178.70403169961,50,46,0.520833333333333,-2
"34",34,183,106,188.655789636095,55,51,0.518867924528302,-1
"35",35,182,97,181.007431351473,48,49,0.494845360824742,-11
"36",36,167,64,161.313787301231,25,39,0.390625,-11
"37",37,141,61,148.621954279037,42,19,0.688524590163934,9
"38",38,122,59,117.129414508299,22,37,0.372881355932203,2
"39",39,121,93,120.345341389688,47,46,0.505376344086022,5
"40",40,109,124,107.981960647165,61,63,0.491935483870968,0
"41",41,110,51,108.515664596099,23,28,0.450980392156863,-1
"42",42,103,66,111.384940058196,44,22,0.666666666666667,17
"43",43,107,114,104.706075527082,62,52,0.543859649122807,12
"44",44,94,73,91.8935105152995,33,40,0.452054794520548,-1
"45",45,132,94,135.347856010328,50,44,0.531914893617021,17
"46",46,126,105,140.254006456169,81,24,0.771428571428571,23
"47",47,110,105,109.235926681615,50,55,0.476190476190476,52
"48",48,154,119,151.858621756894,65,54,0.546218487394958,4
"49",49,155,91,155.678529598992,50,41,0.549450549450549,-1
"50",50,156,83,151.338629613102,37,46,0.44578313253012,0
"51",51,160,103,158.639150317349,54,49,0.524271844660194,6
"52",52,156,54,154.904595891093,23,31,0.425925925925926,-14
"53",53,142,135,141.556492458945,62,73,0.459259259259259,-28
"54",54,105,37,103.683692925813,17,20,0.459459459459459,4
"55",55,115,13,112.472043080391,6,7,0.461538461538462,-2
"56",56,115,35,118.502902658277,21,14,0.6,8
"57",57,97,90,92.6799575136427,44,46,0.488888888888889,-6
"58",58,80,6,84.2309523552356,3,3,0.5,13
"59",59,102,72,95.505124261054,27,45,0.375,-14
"60",60,72,31,60.3235228131863,10,21,0.32258064516129,-12
"61",61,60,109,56.1839295267966,43,66,0.394495412844037,6
"62",62,60,108,56.8999338610053,45,63,0.416666666666667,-18
"63",63,34,91,28.6989848312905,43,48,0.472527472527473,22
"64",64,56,64,61.1782722006765,37,27,0.578125,0
"65",65,63,130,67.2192511253597,75,55,0.576923076923077,5
"66",66,79,86,121.274259745708,79,7,0.918604651162791,9
"67",67,88,54,79.0671566808332,23,31,0.425925925925926,5
"68",68,85,135,83.677745214559,67,68,0.496296296296296,-1
"69",69,80,21,89.9104735745576,13,8,0.619047619047619,-20
"70",70,104,116,102.161226379712,52,64,0.448275862068966,11
"71",71,119,156,121.937612959879,99,57,0.634615384615385,7
"72",72,124,101,128.683454574175,56,45,0.554455445544555,-9
"73",73,133,80,134.796823894365,47,33,0.5875,-7
"74",74,147,74,151.121626246706,40,34,0.540540540540541,-13
"75",75,181,58,188.929229370307,38,20,0.655172413793103,8
"76",76,179,82,183.932283261212,48,34,0.585365853658537,3
"77",77,174,119,176.223733189707,66,53,0.554621848739496,-22
"78",78,202,121,202.796350772298,65,56,0.537190082644628,-8
"79",79,221,94,221.846517126226,47,47,0.5,6
"80",80,230,80,233.52517695943,41,39,0.5125,-8
"81",81,220,118,220.590785323117,61,57,0.516949152542373,14
"82",82,206,13,204.907081229413,7,6,0.538461538461538,0
"83",83,206,144,202.223607902451,46,98,0.319444444444444,13
